T,rule,lam,bits,rounding,scale,seed,recalled,age50,fidelity,write_lsb,saturated_frac,unchanged_frac
512,hebbian,0.997,4,nearest,dynamic,2,67.34,0,0.0972,0.0546,0.0002,0.9880
512,hebbian,0.997,4,stochastic,static,2,119.72,84,0.1646,0.0598,0.0126,0.9397
512,hebbian,0.997,4,stochastic,dynamic,2,39.91,0,0.1025,0.0478,0.0002,0.9490
512,hebbian,0.998,32,,,2,407.84,428,0.4244,nan,0.0000,0.0000
512,hebbian,0.998,bf16,,,2,408.94,430,0.4248,nan,0.0000,0.0676
512,hebbian,0.998,8,nearest,static,2,421.12,464,0.4244,0.9397,0.0000,0.4779
512,hebbian,0.998,8,nearest,dynamic,2,407.59,431,0.4219,1.8526,0.0001,0.2968
512,hebbian,0.998,8,stochastic,static,2,402.66,417,0.4127,0.9397,0.0000,0.4393
512,hebbian,0.998,8,stochastic,dynamic,2,405.47,428,0.4189,1.8483,0.0001,0.2790
512,hebbian,0.998,4,nearest,static,2,29.66,0,0.0799,0.0518,0.0000,0.9995
512,hebbian,0.998,4,nearest,dynamic,2,61.97,0,0.0898,0.0507,0.0002,0.9885
512,hebbian,0.998,4,stochastic,static,2,102.53,14,0.1624,0.0518,0.0164,0.9481
512,hebbian,0.998,4,stochastic,dynamic,2,33.97,0,0.1028,0.0449,0.0002,0.9522
512,hebbian,0.999,32,,,2,459.53,512,0.4412,nan,0.0000,0.0000
512,hebbian,0.999,bf16,,,2,460.19,512,0.4413,nan,0.0000,0.0784
512,hebbian,0.999,8,nearest,static,2,461.75,512,0.4348,0.8027,0.0000,0.5218
512,hebbian,0.999,8,nearest,dynamic,2,457.97,512,0.4379,1.7023,0.0001,0.3240
512,hebbian,0.999,8,stochastic,static,2,450.84,512,0.4249,0.8027,0.0000,0.4783
512,hebbian,0.999,8,stochastic,dynamic,2,455.66,512,0.4341,1.6980,0.0001,0.3031
512,hebbian,0.999,4,nearest,static,2,18.31,0,0.0507,0.0442,0.0000,0.9998
512,hebbian,0.999,4,nearest,dynamic,2,60.69,0,0.0874,0.0468,0.0002,0.9888
512,hebbian,0.999,4,stochastic,static,2,85.16,0,0.1561,0.0442,0.0225,0.9560
512,hebbian,0.999,4,stochastic,dynamic,2,31.09,0,0.1022,0.0421,0.0002,0.9553
512,hebbian,1.0,32,,,2,479.25,512,0.4472,nan,0.0000,0.0000
